id,transcript
1," Tau ga rumah tradisional laos kayak gimana? Kayak gini! Jadi selama di laos, kita gira di kulta residens, di mana? Tempat penginapnya itu di rumah tradisional laos atau di sebut dengan Hongsong lau. Hongsong. Ya begitu lah pokoknya. Jadi rumahnya adalah ruang penggum yang terbuat dari kayu, harput atau kayu keras. Misa dari berbagai macap dan fondasinya itu ditanam sampai ke bawah. Rumah yang dipake di kuntah heritetsi ini adalah rumah lama yang usia ini sudah lebih dari 100 tahun. Kemudian dipindah ke sini. Dan kayunya itu masih bagus, hanya saja di treatment ulang, biar lebih kuat dan tahan lama. Meskipun dari luar terlihat dari kayu, terpas masuk ke dalam, wah ini mewah dan nyaman boy. Jadi kayak jajah gua. Tapi yang kita ini adalah dua kamar. Di mana? Puma marah gul deh kode? Assumanya enak, udah di tuti kamar ada kamar mania, ada dua wastafel yang akan mangi, dan ada betapnya cuit. Terus buat kalian yang hobi masa, dia juga dilengkapi dengan dapur besar lengkap dengan kompor, rice cooker, microwave, hingga toaster buat kita bikin roti. Dan di bagian bawahnya kita juga dapat masih duci sama kalau kita mau ticu-tuci ada singnya di sini. Jadi ini cocok banget buat yang bawah kuar, ga? Dan mau stay berlamal-lamah di sini. Nah pertanyaannya berapa biaya-yaya? Untuk yang dipendua kamar yang kita pakai, itu semalanya 80 US Dollars. Untuk yang dipesah satu kamar, berarti studio ya, satu kamar itu 60 US Dollars. Dan buat teman-teman yang pengen cari makanan, di depannya persis ada restoran rempa Indonesia. Makanan Indonesia yang enak-enak banget. Sebenernya kalau di dian lihat, mirip gaji sama rumah adat daya kalimantan. Tapi bedanya apa ya?ICHO 30 di bahwa. Disini."
2," wang nilin juri, episode berikutnya akan dimulai sekarang kita di laos dan kita sudah ngambil mobil kita cherry 233 di godelapan promeks dan 3-delapan yang kamput pertanyaannya dimana caranya mobil bisa kita kek di laos jadi kemarin kita dari Malaysia, Singapur, Thailand, Kampoja, Laos, Trusfiat Nam mau berkina tinggal di laos selama 2 bulan emang bisa jawabannya hmm, ga jadi untuk masuk ke laos kita itu ga perlu pakai cPD karni karena laos punya permitnya sendiri seperti ini dan kita harus urus ini sebelum masuk ke laos untungnya kita menggunakan agent, agent sudah mengurus semua ini dan kita lo haji kembayar sekitar 100 US$ per mobil jadi untuk 2 mobil kita lembar 200 US$ tapi permitnya hanya berlaku untuk 1 bulan saja asalnya permitnya kan itu masuk bulan gimana caranya berjaya 2 bulan? kita coba cari lah caranya kita kontak KBRI, biacuka, agent termasih juga cherry ada di laos ternyata memang tidak bisa diperpanyang jadi gua bulan akhirnya kita melauka sesuatu yang legal dan kalian bisa tiru cara ini sebelum permitnya gena 1 bulan gua mengirim pala dan rahmat untuk ke laos dan mengeluarkan mobilnya ke Thailand kemudian sampai Thailand mobilnya harus masuk lagi ke laos sih ga dia dapat permit lagi rinjual 1 bulan lagi emang sih agama karena gua harus kirim gua orang sini ditambah untuk masuk ke laos nambah lagi 100 US$ per mobil jadi kita huan 2 ruang lagi tapi itu cara yang menurut gua paling aman dan legal selain itu mobil kita taruh lagi tipe lagi di cherry laos kelai itu kita balik ke sini kita mulai perjalanan ke China memang mahal tapi tulah resiko overland jadi buat teman-teman kalau misalkan kalian mau overland tulah negeri menggunakan mobil dari PLATB sebesa mungkin ikuti peraturan dan undang-undang yang berlaku jangan melanggar karena nati urusannya bisa repot bahkan kita bisa kerepotin kabari dan mencoreng lama Indonesia kalau overland pasti ada aja kejadian-kejadian yang di luar dari pergeran kita sebesa mungkin cari-lah cara yang legal buat teman-teman yang pengen tau dan ikutin kesuruan kita pas lagi overland bisa asung aja follow aquonini gas"
3," Paya di rumah gua tuh agak aneh ya. Biasanya pwanda-paya tuh kan Lurus katas nggak bercam bang. Tapi kita lihat di sini. Tapi paya ini cabang 3. Tolet, 1, 2, 3. Terus ada batang lagi yang ngubulet di sini agak aneh, top. Ini dekat ngubulet gitu. Bercam bang lagi ya. Di sini ada percamangan lagi. Ya, bahkan di sembalsar itu ada percamangan ada banyak. Satu, 2, 3, 4, 5. Dan tiap cabangnya. Itu ada daunnya sama ada perpaya. Itu banyak banget, perpaya aja sampai katas. Banyak banget. Gua semua ini tuh baru pertama kali ketemu perpaya kayak gini Dan uniknya ada di rumah sendiri. Kenapa bisa kayak gitu ya? Mujung ke nganafir. Enak gua aja."
4," udah sekitar 2 bulan ini, sampai organik di rumah kita olah pakai ini ini namanya kompos it jadi dia adalah alat penggiling sampai organik dan nanti hasilnya jadi kering bekas buah, bekas nasi, even sampai tulang-tulang ya, tapi kalau tulang yang gede masih di pecahin dulu terus nanti disini akan digiling kemudian nanti akan digerinkan dan hasilnya itu nggak ada bau dan nggak mengundang lalat terus terangga ada macam-macam ya bisa dijadikan hubung kompos atau mediatan, namanya cara instan nggak perlu ditunggu lama, pembusukan dan kewan-kawan apalagi di maskin jadi biopori ini benar-benar instan caranya nggak mampang banget kalau kita punya sampah langsung aja di maskin ke sini ini kita tunjukkan caranya ini pertama ada sampah, sisatulang ayam eh, bau kemudian ada sisat bekas bikin juice-pakeslow juicer ya ini ada kulit jeruk, sisat bekas matoha, bekas anggur, wow langsung kita masukin saja sekarang kita langsung tutup aja set, oh langsung kota mati sialah kita pencetajau n ofnya dia akan langsung ngegiling nah, sekarang udah jadi dari berikutnya ini dia hasilnya jadi kayak gini jadi dia tuh hasilnya kering nggak berbau dan baunya pun juga bau kayak jrami ya kita bisa langsung pakai ini buat mediatan, nam buat pupuk kompos tanpa bau dan yang paling penting adalah kalau kita sebar di tanah dia tuh nggak bikin lalat apalagi sampai ada belatung ya kalau gua biasanya dijadin pupuk buat bohon, buat tanaman sama buat kanan ayam biar dia ada cakaran cakaran yang di bagian bawah jadi budakan buat teman-teman yang punya sampah organik di rumah pengen diolas sendiri bisa dapat nilai tanpa dari pupuk organik atau mediatanapnya bisa langsung beli komposit aja buat teman-teman yang pengen coba juga bisa langsung beli komposit aja jadi sampah organik dari rumah kalian itu nggak langsung di buang kita olah lagi biar bisa lebih bermanfaat dan tentunya saja ramah linkungan gas!"
5," jadi ini dia, mobil yang akan kita pakai buat roadparti nanti baik, BJ40 plus yang sudah di modifikasi dan kalau kalian lihat, atas sudah kita ubuk, pindu sudah diganti bumper juga sudah kita ganti dan paling keren menurut gua adalah pemilihan felak sama banyak na, felak kita pakai black right no motifnya itu kayak art mistale dimana dia punya pelindung di bagian sampingnya, ini bisa dicopot dan bisa dipasak kalau misalkan kita lagi di jalanan berbatu terus barat-barat ini bisa kita ganti gak harus ganti sama pelak-pelaknya dan untuk banyas diri, dia pakai delu terara rider ATX ini bang, gak cuma luk share keren dia kalau kita lihat kembang-kebagus sampingkanan kiri nya, itu juga ada grip tabahan ya kalau misalkan kita lagi offroad, kita kumpasin jadi gak cuma luk share keren, tapi fungsinya itu juga bisa diandalkan agimana? kalau gua jangkobin mau dipake offroad nah, pakai aja bandilium band lokal, kualitas international"
6," Bapain ini jualan Miaya 4.000 piyah tapi bisa beli tana untuk ke enam anaknya. Perjalanan kulinda kekeletan kali ini tidak hanya membuat perut gue kenyang. Tapi gue juga bisa mendapatkan pelajaran hidup dari Bapas Uro. Sangpean jual Miaya dengan harga murah. Jualan ini, malah pun untungnya sikit tapi orang itu kalau udah punya utang, makanya baboninah, jualaninanya. Uuuuuhhhhhh. Ananya nama nama nama, sekulah semua. Kalau semua uawul, jalan tapi di kapitnya, berupa anak. Nama nata nata, nata, teman. Jadi kemala budoknya kanak, juga apa gini? Lih. Di teman iru Tuhan Hanif, kita penasaran banget dengan harga 4.000 piyah. Kira-kira apa saja sih, isinya, dan gimana irasannya? Sebenarnya 4.000 pembunyai kalau di klaten itu ya, oke lah, oke lah. Kera, tapi ada bahasa nya, ayam, agak toking hayamnya. Ayamnya juga banyak. central mamy jikaational keadaan? regular yeah,ari banyak variety klaptank lah, masalah tempe, lasanya 뭐 yang perlu lagi kamu menunakan, tapi不知道ины nama keduanya. Ten Cravant Mas仲 Ya kalau ada ada pes Çünkü, kita sudah aparecekolor sama với nama kenix, tapi banyak yang sangat penting adalah, jadi buat penasaran, tolong tolong saja video nengkapnya di channel NextCardless"
7," dibu kuling gaya 25 ini rama sekali karena baru saja kita melakukan pengumuman pemenang dari kumpet Tisibis di Smooth Your Hustle bersama Uling Mitraibi ya ini hasilnya asmenya, luar biasa banget underusnya Minggulah lu kita tuh melatap penjuryan itu lebih kaya investor day jadi kaya tayo invest di tempat kita karena menyakitkan semua lapan aja bayar kebetulan saya adalah jurinya dan kenarin sekitar beberapa minggulah lu kita sudah melakop penjuryan itu seru banget kaya investor day dibandingkan sebuah kumpet Tisibis rasanya kaya kita tak kejipin ke dalam disini kita juga bisa lihat Uling Mitraibi yang sudah di modifikasi sesuai dengan kebutuhan bisis anda gua berharap dengan arik kompetisi ini itu bisa umumcukan besar-besar baru yang nggak cuma mikir bisisnya keren 2 tapi juga sustain dan bisa berkembang di Jakapadjan jangan lupa buat teman-teman yang penasaran dengan Uling Mitraibi bisa kecewkan Uling B Uling Dot ID"
8," Sebulnya, peserta top 10, kecerasi di dunia yang berpikir, sudah mempercentasikan proposal ide bisnisnya. Ini, juri akan berdiskusi untuk memilai penemangnya. Sebulnya, 30 juri alih, satu misi mencari 3 terbaik. Kreativitasnya benar-benar keluar nalar. Panyak sekali, itu yang kalau menurut saya, itu bisa sangat mudah di aplikasikan dan bisa dipandu dengan kehadiran Wooling Mitra EV. Corelasi yang sangat menarik, antara Wooling EV dengan bisis-business peserta tadi, misalkan bagaimana mengandalkan renewable energy, mengandalkan bagaimana sustainable environment. Overs semua desainnya menarik ya, dan mereka tuh punya utiliti masing-masing. Jadi kan, paham-paham ini unik, custom dan memang sudah disesuaikan dengan bisnisnya. Setelah melihat semua ide bisnis, akhirnya kami menemukan pemenangnya. Siapa kak, Tok 3, Mof your Hassel, tunggu penggungannya di 31 juli pada saat dia 2020 ini."
9," Harga ambil sebesi destinator akhirnya diumkan di Gias 25. Dan harganya mulai dari 385 juta saja, kalian sudah bisa mendapatkan mesin 157 turbo dan transmisit CVT automatic. Nah, kalau pengen lebih tinggi, Tipe X-it itu di 4005 juta, dan Tipe Ultimate yang tertinggi itu di 40065 juta. Nah, ada juga variant yang premium, dimana harganya 305 dibandingkan dengan si Tipe Ultimate biasa. Nah, ini kebetulan kita masuk ke dalam yang Ultimate Premium. Bidanya apa saja, kalau Ultimate Premium kita dapat power backdoor, terus dapat elektrik silt, sama audio-nya sudah pakai yang maha premium sound. Tapi, kalau kalian beli mesin bisi destinator, Solar Gart sudah percaya mesin bisi untuk menjadi kaca film OEM dari mesin bisi destinator. Jadi, langsung dapat kaca film Solar Gart yang bisa bikin Adam dan tampilan mobil jadi lebih keren. Solar Gart sendiri merumpakan bagian grup dari Sengo Bay. Yang brusia sudah lebih dari 360 tahun. Kenan kan Solar Gart sendiri di Indonesia, itu sudah 30 tahun lebih ada di sini. Solar Gart sendiri memberikan garan seri 5 tahun. Udah gitu, dia ada banyak ada di 7.6 kota di Indonesia, dan ada 167 outlet yang bisa kalian datangi. Jadi, gimana? Asikan, setiap lens destinator sudah langsung dapat kaca film Solar Gart. Ready to feel comfortable to your next destination."
10," Jadi selama kita di Thailand, Overland, kita tuh sering banget kita mau new X yang variant face-drip terbaru ini. Wannanya-wannanya apa yang masuk Indonesia ya? Dan akhirnya di jahat sekali ini, nah, ijusu melawing ijusu new X yang variant face-drip. Apa saja yang beda? Dari depan, kita akan menemukan bentuk depan yang baru. Lampunya baru, grillnya baru, bembernya baru, dan juga logo ijusunya sekarang ada di atas grill seperti ini. Kemudian ke bagian belakangnya, dia punya lampu belakang baru yang detail lecaket, sama dia bagian sini itu nyambung mika saja. Nah kebauah, kita dapat bember model baru, ada di view serah di bagian sini, sama kalau kita lihat ke bagian kaki-kaki nya, yang memedakan new X dengan kompetitor nya adalah, dia punya multiling suspension bukan cuma 3 atau 4-0, tapi 5-0 sekali-gus. Jadi, pas kita pakai jalan, dia lebih nyaman, lebih stabil, dan ketika dipake off-load, dia juga lebih mantap. Dari segi mesin, dia tenter memberitakan mesin 3.9 CCX sudah terujib handle, dan irit tentunya. Ternaknya, ter 50 PS dan torsinya 3.50 Nm, disambungkan dengan transmisi metic 6 percepatan, dan dia juga memiliki penerak 4-wheel drive di mana bisa diatur secara elektrik dan shift on fly. Kemudian dari segi interior nya, kita akan menemukan kursi yang nyaman terjalan jauh, transmisi otomatik dengan tiptronic, ada elektronik parking brake, dan ada hotohol. Kemudian untuk mengatur 4-wheel drive, ada di bagian sini, kita bisa attur 2H, 4H atau tekan untuk jadi 4L, sama ada model off-road, dan dia juga sedang dilengkapi dengan hill-disen control. Untuk ruang kabin tengah dan belakangnya, dia juga yang paling lega di kelasnya, udah gitu. Kita tetap dapat asyi di atas platform, nggak cuma di tengah, tapi di belakang juga. Tapi yang paling spesial dari isu zoom-u-ax itu ada kemampuan off-road nya, dia punya trifless suspension yang tinggi, gong, gong, terempuan yang tinggi, serta water-wedding yang paling bagus di kelasnya. Sehingga kalau misalkan kita pakai off-road atau beda-beda-beda-beda-berat, dia bisa diadalkan. Nah, buat teman-teman yang penasaran, dan pengen biat langsung bisa ke G205, karena boot isu-zu ada di hole-1 langsung aja ke sini, dan sekarang bisa test drive juga mobil ini di tepat test drive-nya. Nah, penasaran kan langsung gas, nggak pakai lama ke bootnya isu-zu di G205."
